member_path,file_size,compress_size,crc32_hex,sha256,extension,classification,interesting,notes,extracted_relative_path
assets/google-services-desktop.json,1436,1436,4436c3a0,fdccdc4ad1c2c1dcb477ac225a4e2630adc934712f6e38e7b0719e054a55207b,.json,generic_apk_member,False,[],
billing.properties,50,37,933d036a,1050ec98fa0f0ba377aae94f404977be71dfb199ea8cf9dc472954f1408a0ff7,.properties,generic_apk_member,False,[],
classes.dex,9370372,3732882,5b2aa0fa,e5f916c249d060fa4818a43c766210efff73980c5e737cdc84a7eeb695e4338f,.dex,dex_bytecode,False,[],
classes2.dex,8130680,3189842,6e257417,995046b6fd25ebc019849730f3a411a004f2e7217bb911ee589f8d95979dc56b,.dex,dex_bytecode,False,[],
classes3.dex,6985328,2583753,519a1893,ca620f5aa442288ff8cca531cfb4f8c798a705c07ea4af36547567a9e4196813,.dex,dex_bytecode,False,[],
classes4.dex,9789860,3576196,76c570a5,567bbd92b224f008c8990a81bd25d35b5f3419bb9ba61992581dbacad5013576,.dex,dex_bytecode,False,[],
classes5.dex,1626076,621536,fa5aba07,3dc6da36ec3df87b5c7dee56ef461f871f1e5aae0628a87e565a8e7ed9068fae,.dex,dex_bytecode,False,[],
com/applovin/shadow/okhttp3/internal/publicsuffix/NOTICE,218,149,df32c7fc,8a9c58fbded5ea3474315e4a9824ca8b1486098a1a03e897e0b19419d5e1876a,,generic_apk_member,False,[],
com/applovin/shadow/okhttp3/internal/publicsuffix/publicsuffixes.gz,41394,41394,f59fa4f6,9af43e9995ec749e7a30eec4e5a87770d7e2027847084a07cca82060eff0c791,.gz,generic_apk_member,False,[],
core-common.properties,58,41,605c07a9,6d58995a11971b3d82341b531e86a303aaa4dfebc8b9cd496998a858198dd97a,.properties,generic_apk_member,False,[],
firebase-analytics.properties,74,50,73cda777,7a9dac015458fa865c26c1bcae08df8c5059c5421538a640f7c307d47a27e4ec,.properties,generic_apk_member,False,[],
firebase-annotations.properties,78,51,c1d3dcf2,0a9af694f0a979e09e33be21c6428cceb2260d0c85a75cd374ba9fb997383de3,.properties,generic_apk_member,False,[],
firebase-auth-interop.properties,80,51,0fc6f06a,02ce86b719b1098ce451036c84f2652fa3682659957735186fca0d9f16ba30a2,.properties,generic_apk_member,False,[],
firebase-auth.properties,64,45,7c8c8129,3493b3ad31a85690ac204ae160424c5563d21768e366f3355333d3131a45319b,.properties,generic_apk_member,False,[],
firebase-database-collection.properties,94,56,eb49922a,0c475d57e09aa22891670e6a82034a21e416d9c1e503b9c6e4cbf2cb6bff0e7f,.properties,generic_apk_member,False,[],
firebase-encoders-proto.properties,84,54,a1d9b8c9,eba792be6ea03f3b6d68eccfd25f3f53a0767657ec12b1b90996b5d5b34a9688,.properties,generic_apk_member,False,[],
firebase-encoders.properties,72,48,7df25dbd,527438e526e7befb6c04dc394f4e36824a11019c7d6d687c2772a435d22c0e9f,.properties,generic_apk_member,False,[],
firebase-iid-interop.properties,78,52,2533bf8b,a2862ae5811a268630807c645d5dadc1f15e85b922a2ab0408e984ea5548e102,.properties,generic_apk_member,False,[],
firebase-iid.properties,62,44,67c79057,8334ddfaa5cb901550628606fe25e80d6a408cc8efecdf0fadcec94b61c8ea38,.properties,generic_apk_member,False,[],
firebase-measurement-connector.properties,98,61,59c9abbf,ca7d9dd559c3cf48a087b9d4fc5b7c6eded0c99892297b59758093459d98463a,.properties,generic_apk_member,False,[],
google/apphosting/datastore/testing/datastore_test_trace.proto,6693,2295,54e7a791,ea810e2bb12e320a6d5544f29bece34afc45999dc3ebf638533d06e6668af823,.proto,generic_apk_member,False,[],
google/firebase/firestore/proto/bundle.proto,3775,1521,4970c5cf,04e86bbcd0be337d6d39ba15852b2ddbc00eba97b64c64edc51dbd2ae3c62fb5,.proto,generic_apk_member,False,[],
google/firebase/firestore/proto/maybe_document.proto,2443,1022,72c0836e,3be7e96ac8f59bf516182a77a970002ce6945e4bf78c39a2cde52aa1cb2da836,.proto,generic_apk_member,False,[],
